0,12,9
0,12,3
0,12,12
1,12,9
1,12,3
1,12,12
2,12,9
2,12,3
2,12,12
3,12,9
3,12,3
3,12,12
4,12,9
4,12,3
4,12,12
5,12,9
5,12,3
5,12,12
6,12,9
6,12,3
6,12,12
7,12,9
7,12,3
7,12,12
8,12,9
8,12,3
8,12,12
9,12,9
9,12,3
9,12,12
10,12,9
10,12,3
10,12,12
11,12,9
11,12,3
11,12,12
12,13,9
12,13,3
12,13,12
13,12,9
13,12,3
13,12,12
14,12,9
14,12,3
14,12,12
15,12,9
15,12,3
15,12,12
16,12,9
16,12,3
16,12,12
17,12,9
17,12,3
17,12,12
18,12,9
18,12,3
18,12,12
19,12,9
19,12,3
19,12,12
20,12,9
20,12,3
20,12,12
21,12,9
21,12,3
21,12,12
22,12,9
22,12,3
22,12,12
23,12,9
23,12,3
23,12,12
24,12,9
24,12,3
24,12,12
25,12,9
25,12,3
25,12,12
13,12,2
13,12,4
13,12,5
13,12,6
13,12,7
13,12,8
13,12,10
13,12,11
13,12,13
13,12,14
13,12,15
13,12,16
13,12,17
13,12,18
13,12,19
13,12,20
13,12,22
13,12,23
13,12,24
13,12,25
13,12,26
13,12,27
13,12,28
13,12,29
13,12,30
13,12,31
13,12,32
